Y-coord,X-coord,OTP (1),Detox (2),Res (3),OP (4),FQHC (5),SPC (5),PCP (6),Emergency (7),Capacity,Provider Type,Usage,Waitlist,In Area,Name and Address,Target Pop
37.3266423,-121.9403,0,0,0,0,0,0,0,0,0,bup,,,,,
37.0112,-121.55705,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4401853,-122.16125,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4387529,-122.17105,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3476462,-121.92594,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3018257,-121.91404,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4414733,-122.1686,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2359872,-121.90407,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3211268,-121.8813,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3408676,-121.92247,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4330746,-122.17505,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2329535,-121.77715,0,0,0,0,0,0,0,0,0,bup,,,,,
37.326606,-121.94029,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3128569,-121.93327,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2211793,-121.90431,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3128569,-121.93327,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2365134,-121.79734,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3018074,-121.91411,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4347593,-122.17587,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3128569,-121.93327,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4387529,-122.17105,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3128569,-121.93327,0,0,0,0,0,0,0,0,0,bup,,,,,
37.0288255,-121.58001,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4387529,-122.17105,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2520443,-121.94653,0,0,0,0,0,0,0,0,0,bup,,,,,
